uri,title,isco_group,isco_code,description,essential_skills,optional_skills,essential_skill_count,optional_skill_count
http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c,mobile application developer,,,"{'literal': 'Mobile app developers implement applications software for mobile devices, based on the designs provided, using general or specific development tools for device operating systems.', 'mimetype': 'plain/text'}","tools for software configuration management,interpret technical texts,integrated development environment software,computer programming,develop software prototype,develop automated migration methods,utilise computer-aided software engineering tools,migrate existing data,collect customer feedback on applications,ICT debugging tools,use software libraries,create flowchart diagram,analyse software specifications,use software design patterns,mobile operating systems,debug software,Internet of Things","object-oriented modelling,Salt (tools for software configuration management),Python (computer programming),use automatic programming,SAS language,adapt to changes in technological development plans,Smalltalk (computer programming),CoffeeScript,Scratch (computer programming),use object-oriented programming,Groovy,Common Lisp,ML (computer programming),Prolog (computer programming),iOS,use functional programming,AJAX,C#,PHP,STAF,Objective-C,Visual Studio .NET,Eclipse (integrated development environment software),Android (mobile operating systems),Ansible,use logic programming,SAP R3,Erlang,Apache Maven,Xcode,VBScript,Windows Phone,develop creative ideas,R,software anomalies,TypeScript,ICT security legislation,Ruby (computer programming),APL,ASP.NET,integrate system components,mobile device software frameworks,World Wide Web Consortium standards,Assembly (computer programming),Puppet (tools for software configuration management),KDevelop,Jenkins (tools for software configuration management),identify customer requirements,Swift (computer programming),Lisp,Java (computer programming),JavaScript,design user interface,Pascal (computer programming),BlackBerry,C++,OpenEdge Advanced Business Language,Perl,Scala,Microsoft Visual C++,use concurrent programming,COBOL,Haskell,MATLAB,ABAP",17,65
http://data.europa.eu/esco/occupation/106f79e4-6264-45f1-9e7a-297435cd684b,software tester,Software and applications developers and analysts not elsewhere classified,2519,"{'literal': 'Software testers perform software tests. They may also plan and design them. They may also debug and repair software although this mainly corresponds to designers and developers. They ensure that applications function properly before delivering them to internal and external clients.', 'mimetype': 'plain/text'}","software anomalies,address problems critically,replicate customer software issues,software metrics,report test findings,perform software unit testing,levels of software testing,execute software tests,software architecture models,provide software testing documentation","software components libraries,plan software testing,perform software recovery testing,PHP,Groovy,ICT project management methodologies,SPARQL,Prolog (computer programming),Scratch (computer programming),ML (computer programming),SAP R3,resource description framework query language,CoffeeScript,R,Process-based management,tools for ICT test automation,Microsoft Visual C++,Haskell,Agile project management,COBOL,Perl,AJAX,unstructured data,XQuery,Scala,OpenEdge Advanced Business Language,hardware components,develop ICT test suite,VBScript,develop automated software tests,APL,ICT performance analysis methods,ICT debugging tools,use scripting programming,LDAP,ABAP,Objective-C,measure software usability,Lisp,N1QL,Python (computer programming),Common Lisp,query languages,audit techniques,debug software,Pascal (computer programming),application usability,execute integration testing,SAS language,TypeScript,Lean project management,conduct ICT code review,Swift (computer programming),ASP.NET,LINQ,C++,Ruby (computer programming),manage schedule of tasks,Java (computer programming),computer programming,Visual Studio .NET,JavaScript,C#,MATLAB,Smalltalk (computer programming),Assembly (computer programming),Erlang,MDX",10,68
http://data.europa.eu/esco/occupation/cf2b03cd-feb7-4f47-90f6-ff1ed6016d3d,ICT network engineer,Computer network professionals,2523,"{'literal': 'ICT network engineers implement, maintain and support computer networks. They also perform network modelling, analysis, and planning. They may also design network and computer security measures. They may research and recommend network and data communications hardware and software.', 'mimetype': 'plain/text'}","use software design patterns,apply information security policies,mobile operating systems,debug software,develop automated migration methods,cloud technologies,provide technical documentation,design computer network,migrate existing data,analyse software specifications,ICT performance analysis methods,implement ICT network diagnostic tools,computer programming,forecast future ICT network needs,ICT network routing,collect customer feedback on applications,ICT debugging tools,information security strategy","VBScript,Common Lisp,SAS language,Haskell,OpenEdge Advanced Business Language,use logic programming,integrated development environment software,PHP,create flowchart diagram,APL,Vagrant,develop software prototype,Apache Maven,Groovy,Ansible,Ruby (computer programming),use concurrent programming,develop creative ideas,Internet of Things,Assembly (computer programming),C++,R,Salt (tools for software configuration management),COBOL,Swift (computer programming),JavaScript,create solutions to problems,AJAX,use automatic programming,Scala,Jenkins (tools for software configuration management),Xcode,tools for software configuration management,Visual Studio .NET,Erlang,Lisp,iOS,MATLAB,STAF,ICT problem management techniques,ASP.NET,BlackBerry,network management system tools,C#,use object-oriented programming,KDevelop,Prolog (computer programming),Android (mobile operating systems),TypeScript,Windows Phone,Python (computer programming),Microsoft Visual C++,Eclipse (integrated development environment software),Scratch (computer programming),ABAP,adapt to changes in technological development plans,ML (computer programming),use functional programming,Puppet (tools for software configuration management),Java (computer programming),CoffeeScript,SAP R3,Objective-C,Smalltalk (computer programming),Pascal (computer programming),install electronic communication equipment",18,66
http://data.europa.eu/esco/occupation/072279cf-ed39-47e7-af23-ee6df571eb24,clothing product grader,Garment and related pattern-makers and cutters,7532,"{'literal': 'Clothing product graders produce patterns in different sizes (i.e. scaled-up and scaled-down) to reproduce the same wearing apparel in different sizes. They draft patterns by hand or using software following size charts.', 'mimetype': 'plain/text'}","manufacturing of wearing apparel,inspect wearing apparel products,standard sizing systems for clothing,apparel manufacturing technology,alter wearing apparel,distinguish fabrics,coordinate manufacturing production activities,manufacturing of made-up textile articles,create patterns for garments,distinguish accessories,grade patterns for wearing apparel,prepare production prototypes,evaluate garment quality,perform process control in the wearing apparel industry,operate garment manufacturing machines,make technical drawings of fashion pieces,CAD for garment manufacturing,operate computerised control systems","use pattern-cutting softwares,properties of fabrics,analyse scanned data of the body,use 3D scanners for clothing,bundle fabrics,3D body scanning technologies,cut fabrics",18,7
http://data.europa.eu/esco/occupation/5f50290d-f520-4a69-85c7-1390d2a4a8b6,ICT usability tester,,,"{'literal': 'ICT usability testers ensure compliance with requirements and strive for optimal usability within the software engineering cycle phases (analysis, design, implementation, and deployment). They also work closely with users (analysts) to research for and document user profiles, analyse tasks, workflows, and user scenarios.', 'mimetype': 'plain/text'}","address problems critically,use experience map,create website wireframe,measure software usability,execute ICT user research activities,assess users' interaction with ICT applications,test for behavioural patterns,provide software testing documentation,conduct research interview,execute software tests,levels of software testing,behavioural science,report test findings,human-computer interaction,application usability,test for emotional patterns,replicate customer software issues","web programming,develop ICT test suite,design user interface,XQuery,develop automated software tests,manage schedule of tasks,use markup languages,LDAP,unstructured data,conduct ICT code review,LINQ,AJAX,PHP,N1QL,MDX,query languages,Process-based management,JavaScript,debug software,visual presentation techniques,ICT project management methodologies,use scripting programming,Lean project management,Agile project management,SPARQL,ICT debugging tools,resource description framework query language,tools for ICT test automation,cognitive psychology",17,29
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist,Systems analysts,2511,"{'literal': 'Data scientists find and interpret rich data sources, manage large amounts of data, merge data sources, ensure consistency of data-sets, and create visualisations to aid in understanding data. They build mathematical models using data, present and communicate data insights and findings to specialists and scientists in their team and if required, to a non-expert audience, and recommend ways to apply the data.', 'mimetype': 'plain/text'}","visual presentation techniques,collect ICT data,design database scheme,information categorisation,implement data quality processes,report analysis results,deliver visual presentation of data,statistics,perform data cleansing,resource description framework query language,manage data collection systems,information extraction,handle data samples,data mining,build recommender systems,develop data processing applications,normalise data,establish data processes,data models,query languages,interpret current data,online analytical processing,execute analytical mathematical calculations","integrate ICT data,MDX,manage ICT data architecture,LDAP,manage ICT data classification,unstructured data,manage data,create data models,SPARQL,perform data mining,XQuery,data quality assessment,define data quality criteria,N1QL,LINQ,business intelligence",23,16
http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db,bioinformatics scientist,"Biologists, botanists, zoologists and related professionals",2131,"{'literal': 'Bioinformatics scientists analyse biological processes using computer programmes. They maintain or construct databases containing biological information. Bioinformatics scientists gather and analyse biological data and may also assist scientists in various fields, including in biotechnology and pharmaceutics. They perform scientific research and statistical analyses, and report on their findings. Bioinformatics scientists may also collect DNA samples, discover data patterns and cond","computer programming,conduct quantitative research,biology,web programming,use a computer,gather data,computer equipment,database management systems,analyse scientific data,perform data analysis,apply scientific methods,apply statistical analysis techniques,computer engineering,statistics,laboratory techniques,perform scientific research,use databases,present reports,interpret current data,manage database,assist scientific research,contact scientists,collect biological data,maintain database","biometrics,maintain laboratory equipment,write scientific papers,data quality assessment,plan research process,scientific modelling,mathematics,genetics,write research proposals,perform laboratory tests,develop scientific theories,evaluate genetic data,genetic engineering,scientific research methodology,develop scientific research protocols,manage data collection systems,molecular biology,gather experimental data,write work-related reports",24,19
http://data.europa.eu/esco/occupation/bc659adc-f42c-4ef6-89fe-fd030033f446,cosmologist,Physicists and astronomers,2111,"{'literal': 'Cosmologists focus on the study of the universe as a whole, which is made up by its origin, evolution and ultimate fate. They use tools and scientific instruments to observe and study other galaxies and astronomical objects such as stars, black holes, planets and other celestial bodies.', 'mimetype': 'plain/text'}","physics,analyse scientific data,gather experimental data,analyse telescope images,statistics,define celestial bodies,scientific research methodology,write work-related reports,observe celestial objects,carry out scientific research in observatory,astronomy,quantum optics,apply scientific methods,aerospace engineering,mathematics,quantum mechanics,operate scientific measuring equipment,perform scientific research,design scientific equipment,operate telescopes","perform laboratory tests,acoustics,apply statistical analysis techniques,write research proposals,write scientific papers,geophysics,aeronomy,types of satellites,geostationary satellites,execute analytical mathematical calculations,develop scientific theories,teach astronomy,types of optical instruments,optics,observe matter,perform lectures,optoelectronics",20,17
http://data.europa.eu/esco/occupation/8606c0fd-c7cb-404d-887f-3a30ef7a81b4,sensory scientist,Chemists,2113,"{'literal': 'Sensory scientists carry out sensory analysis in order to compose or improve flavours and fragrances for the food, beverage and cosmetics industry. They base their flavour and fragrance development on sensory and consumer research. Sensory scientists carry out research and analyse statistical data to meet customers expectations.', 'mimetype': 'plain/text'}","perform sensory evaluation,analytical chemistry,quantitative sensory testing,olfaction,molecular biology,market research,food flavourings,statistics,toxicology,chemistry,combination of flavours,prepare raw materials,microbiology-bacteriology,allergology,research fragrances,advise on fragrances,statistical analysis system software","allergies,report analysis results,document analysis results,food allergies,use a computer,perfume raw materials,assess food samples,check quality of raw materials,create fragrances formulae,participate in the development of new food products,food legislation,food science,analyse samples of food and beverages,develop new food products,analyse consumer buying trends,advise food industry,troubleshoot cosmetics formula issues,test fragrances against customer satisfaction",17,18
http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorologist,Meteorologists,2112,"{'literal': 'Meteorologists study climate processes, measure and predict weather patterns and provide consultancy services to a variety of weather information users. They work out models for weather forecasting, develop instruments to collect meteorological data and compile statistics and databases.', 'mimetype': 'plain/text'}","perform scientific research,use meteorological tools to forecast meteorological conditions,carry out meteorological research,climatology,apply statistical analysis techniques,mathematics,apply scientific methods,execute analytical mathematical calculations,review meteorological forecast data,use specialised computer models for weather forecasting,meteorology","conduct research on climate processes,study aerial photos,write weather briefing,statistics,oceanography,design graphics,write scientific papers,scientific research methodology,assist scientific research,operate meteorological instruments,design scientific equipment,present during live broadcasts,collect weather-related data,use geographic information systems,calibrate electronic instruments,develop models for weather forecast,create weather maps,manage meteorological database,geographic information systems,operate remote sensing equipment",11,20
http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955,statistician,"Mathematicians, actuaries and statisticians",2120,"{'literal': 'Statisticians collect, tabulate, and, most importantly, analyse quantitative information coming from a varied array of fields. They interpret and analyse statistical studies on fields such as health, demographics, finance, business, etc. and advise based on patterns and drawn analysis.', 'mimetype': 'plain/text'}","perform data analysis,statistics,conduct quantitative research,apply scientific methods,process data,gather data,statistical analysis system software,data quality assessment,identify statistical patterns,execute analytical mathematical calculations,mathematics,think analytically,scientific research methodology,apply statistical analysis techniques","provide lesson materials,plan research process,manage database,demography,opinion poll,conduct public surveys,set theory,design questionnaires,write scientific papers,biometrics,deliver visual presentation of data,carry out statistical forecasts,analyse big data,build predictive models,present reports,information confidentiality,algorithms,prepare lesson content,advise on financial matters,write research proposals,develop financial statistics reports,advise on legislative acts,perform scientific research,market research,develop scientific theories,assist scientific research,develop statistical software",14,27
http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinesiologist,Health professionals not elsewhere classified,2269,"{'literal': 'Kinesiologists study and research the movement of the body; its muscles and parts. They analyse and use scientific data and methods to improve body motion, generally in humans, through an understanding of such areas as physiology, kinetics, neurology, and biology. They recognise the effects that some factors, such as body condition, have on motion and develop solutions to improve overall mechanics and mobility.', 'mimetype': 'plain/text'}","calibrate laboratory equipment,scientific modelling,scientific research methodology,maintain laboratory equipment,human anatomy,human physiology,nutrition,biology,apply safety procedures in laboratory,perform scientific research,neurology,gather experimental data,biomechanics,kinetics,apply scientific methods,kinesiology,perform laboratory tests,kinanthropometry","ergonomics,rehabilitation,exercise physiology,osteopathy,therapeutic massage,acupuncture methods,develop patient treatment strategies,prepare lesson content,kinesitherapy,develop scientific theories,contribute to the rehabilitation process,write scientific papers,perform lectures,assist in performing physical exercises,deal with challenging people,biological chemistry,provide individual exercise programmes,occupational physiology,assist patients with rehabilitation,assist in clinical trials,archive scientific documentation,attend sports training,psychology,develop scientific research protocols,write research proposals,psychomotor therapy,create a diet plan,pathology",18,28
